country,state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
afghanistan,Afghanistan,279.02,306.34,352.7,351.37,286.65,385.9,349.48,275.81,253.72,365.31,373.95
afghanistan,Badakhshan,542.16,500.19,549.54,560.03,450.82,635.88,601.4,502.5,407.01,557.38,575.66
afghanistan,Badghis,235.77,245.05,294.86,230.9,248.96,306.78,265.24,262.46,238.85,326.68,316.81
afghanistan,Baghlan,446.14,439.4,582.16,588.21,433.86,627.22,568.43,415,402.38,507.69,564.52
afghanistan,Balkh,232.5,226.18,370.8,287.54,326.88,342.22,317.57,217.26,218.69,345.82,329.05
afghanistan,Bamyan,393.37,393.78,576.5,538.71,425.17,538.72,543.76,381.91,390.99,452.26,501.99
afghanistan,Farah,113.43,134.63,170.75,171.85,166.68,196.98,184.09,176.74,164.45,198.05,195.73
afghanistan,Faryab,218.83,219.68,298.61,237.85,276.85,302.84,276.77,238.95,222.48,320.69,306.27
afghanistan,Ghazni,362.32,436.99,511.42,517.71,388.06,562.99,516.02,362.32,354.31,500.54,520.86
afghanistan,Ghor,306.83,305.38,347.7,327.39,329.49,341.09,367.14,308.33,311.71,336.26,346.64
afghanistan,Hilmand,82.98,162.13,123.84,151.89,103.95,129.83,127.81,106.18,92.64,190.49,170.41
afghanistan,Hirat,193.62,191.91,261.74,197,205.49,263.51,229.86,237.73,208.98,281.22,276.32
afghanistan,Jawzjan,175,166.64,274.77,212.37,252.62,270.01,244.39,192.54,170.46,290.31,263.26
afghanistan,Kabul,563.68,543.45,648.37,740.5,498.18,807.74,665.16,463.79,436.95,613.87,695.3
afghanistan,Kandahar,95.49,251.49,159.54,188.17,100.55,150.77,145.84,114.1,93.24,268.25,238.88
afghanistan,Kapisa,614.75,581.08,699.87,794.58,508.39,855.02,712.3,505.93,468.92,623.81,710.19
afghanistan,Khost,672.09,610.91,673.17,760.08,622.64,924.32,724.48,509.54,469.45,745.97,790.42
afghanistan,Kunar,914.59,769.54,821.23,974.34,645.72,1156.52,854.59,661.91,569.89,768.26,839.02
afghanistan,Kunduz,322.13,305.75,419.16,384.65,339.52,421.07,391.21,291.9,277.99,402.49,426.54
afghanistan,Laghman,716.62,641.94,726.58,851.46,550.43,941.08,740.86,535.32,487.32,658.17,756.84
afghanistan,Logar,543.58,545.54,633.03,731.24,528.28,810.09,662.89,464.7,437.88,659.26,730.92
afghanistan,Nangarhar,804.56,692.48,754.64,887.86,631.82,1021.41,761.88,562.72,509.61,735.53,826.91
afghanistan,Nimroz,31.63,99.95,77.72,116.05,77.26,106.97,72.31,70.64,49.86,129.79,139.49
afghanistan,Nuristan,756.11,688.48,763.5,879.2,540.51,997.01,803.46,604.38,518.44,691.71,760.95
afghanistan,Paktika,415.86,461.93,503.59,515.05,413.32,614.74,506.89,348.31,318.64,549.86,566.8
afghanistan,Paktya,591.83,582.58,656.23,756.35,586.05,867.49,699.85,495.44,460.82,724.61,779.18
afghanistan,Samangan,329.84,338.64,539.91,474.17,413.81,511.01,485.53,322.66,334.39,447.12,481.02
afghanistan,Sar-e-Pul,285.06,273.77,460.39,360.51,414.71,423.4,411.27,284.33,293.04,409.55,424.78
afghanistan,Takhar,473.85,460.07,563.3,571.45,453.83,617.31,557.71,434.41,402.82,546.98,587.79
afghanistan,Wardak,441.25,464.28,607.16,630.64,454.79,683.86,621.69,421.71,416.89,547.5,606.31
afghanistan,Zabul,222.11,355.49,328.78,325.23,236.49,340.15,308.82,227.95,216.88,373.81,355.88
afghanistan,Daykundi,314.21,341.49,375.96,363.76,315.92,369.93,392.08,317.86,316.95,353.31,356
afghanistan,Panjsher,615.26,595.27,732.12,806.14,515.53,863.83,739.62,537.37,493.93,644.33,719.95
afghanistan,Parwan,506.07,496.69,645.42,688.57,467.32,741.28,651.82,447.86,436.31,558.54,626.69
afghanistan,Uruzgan,228.25,305.66,301.43,294.49,229.48,295.36,302.27,241.54,237.49,315.54,292.62
Bangladesh,Bangladesh,2245.35,1971.04,1992.35,2023.31,1801.96,2543.25,2119.78,2743.86,1823.15,2029.11,2476.53
Bangladesh,Barisal,2091.96,2146.29,2006.21,2164.51,1834.24,2717.47,2196.27,2926.49,1919.6,2095.08,2515.5
Bangladesh,Chittagong,2404.5,2455.71,2444.76,2283.96,1959.34,3038.56,2396.23,3229.43,2148.05,2315.67,2713.87
Bangladesh,Dhaka,2276.58,1812.23,1906.44,2001.9,1809.25,2490.52,2117.07,2745.9,1816.1,2004.63,2509.19
Bangladesh,Khulna,1604.46,1583.44,1443.75,1678.69,1410.76,2012.55,1696.35,2163.85,1416.73,1600.95,1944.68
Bangladesh,Sylhet,3495.93,2277.63,2935.57,2757.19,2602.2,3531.27,2949.52,3969.7,2602.11,2845.07,3499.84
Bangladesh,Rajshahi,1713.87,1525.36,1422.17,1569.77,1404.53,1896.98,1643.61,2001.62,1330.61,1545.49,1940.64
Bangladesh,Rangpur,2406.01,2114.44,1940.59,1942.69,1814.8,2318.1,2039.79,2391.58,1667.66,1993.35,2458.89
Brazil,Brazil,1759.98,1836.31,1675.27,1797.92,1745.69,1621.71,1610.9,1629.66,1764.38,1662.23,1679.26
Brazil,Acre,2324.18,2103.7,1915.93,1963.85,2288.65,1948.52,1924,2063.98,2100.13,2151.06,1886.46
Brazil,Alagoas,979.53,1256.93,616.82,952.23,1070.77,849.25,711,1015.3,775.88,1064.39,965.7
Brazil,Amapa,2715.06,2667.94,2427.1,2841.34,2447.62,2703.05,2540.29,2492.49,2890.48,2554.24,2331.33
Brazil,Amazonas,2351.52,2381.05,2383.56,2523.45,2413.32,2065.55,2037.44,2188.79,2406.2,2455.58,2351.66
Brazil,Bahia,774.45,867.36,560.25,836.87,753.5,588.89,692.81,628.08,780.01,675.7,1024.73
Brazil,Ceara,706.38,1002.59,471.81,608.49,766.81,645.05,569.04,686.72,680.42,750.27,874.43
Brazil,Distrito Federal,1453.18,1687.51,1609.41,1761.17,1637.12,1309.41,1250.73,1320.23,1625.94,1273.55,1442.21
Brazil,Espirito Santo,1109.21,1247.17,1185.11,1452.06,926.81,645.64,910.2,1116.81,1348.45,1311.43,1389.45
Brazil,Goias,1532.73,1753.8,1685.63,1796.77,1674.33,1448.34,1423,1434.02,1648.71,1391.07,1560.66
Brazil,Maranhao,1394.55,1837.76,1327.35,1574.39,1560.69,1203.31,1297.95,1465.05,1513.81,1360.44,1692.67
Brazil,Mato Grosso,1848.57,1905.19,1785.37,1736.04,1822.66,1773.89,1873.04,1872.28,1896.19,1682.17,1638.99
Brazil,Mato Grosso Do Sul,1423.89,1451.02,1382.63,1410.45,1494.34,1630.17,1558.49,1472.84,1452.8,1265.43,1275.19
Brazil,Minas Gerais,1324.07,1427.6,1155.71,1385.98,991.19,992.02,1102.05,1074.77,1245.45,1053.96,1451.27
Brazil,Para,2139.91,2221.03,2150.25,2241.8,2189.36,2120.64,2110.28,1974.37,2218.97,2064.82,1958.69
Brazil,Paraiba,705.57,1104.38,400.77,674.68,989.81,647.3,552.3,616.74,615.9,650.93,771.83
Brazil,Parana,1831.6,1635.16,1538.17,1641.37,1723.58,2129.41,1783.08,1714.57,1494.59,1400.83,1191.95
Brazil,Pernambuco,682.27,905.58,373.76,649.78,865.85,559.3,508.26,578.93,568.9,623.49,744.72
Brazil,Piaui,907.64,1082.97,787.91,988.19,990.48,764.87,815.24,891.68,977.86,865.91,1086.77
Brazil,Rio De Janeiro,1262.47,1345.35,1273.51,1334.57,1058.1,1087.03,1088.5,1105.24,1271.01,1231.37,1344.49
Brazil,Rio Grande Do Norte,631.69,955.9,411.15,574.28,839.89,605.19,513.26,544.25,550.96,566.09,667.95
Brazil,Rio Grande Do Sul,1644.44,1521.74,1562.78,1544.14,1999.65,1948.12,1673.81,1891.58,1642.44,1715.29,1356.46
Brazil,Rondonia,1822.04,1796.46,1687.71,1680.85,1762.7,1555.09,1360.45,1505.03,1689.51,1507.72,1334.02
Brazil,Roraima,2540.33,2413.62,2117.96,2291.07,1676.47,1703.59,1949.03,1871.97,2280.19,2453.43,2221.57
Brazil,Santa Catarina,1918.37,2029.96,1679.32,1703.42,1894.86,2202.19,1897.14,1729.3,1683.69,1502.08,1381.19
Brazil,Sao Paulo,1758.23,1565.08,1589.21,1444.63,1412.31,1789.01,1419.64,1455.08,1297.02,1342.89,1059.38
Brazil,Sergipe,873.57,946.23,528.86,832.74,796.57,736.57,545.07,826.35,656.15,944.47,951.73
Brazil,Tocantins,1526.52,1959.14,1492.33,1828.61,1624.42,1242.27,1398.45,1290.55,1781.82,1300.12,1860.03
Brazil,Name Unknown,1526.52,1959.14,1492.33,1828.61,1624.42,1242.27,1398.45,1290.55,1781.82,1300.12,1860.03
Brazil,Name Unknown.1,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89
Brazil,Name Unknown.2,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89
Brazil,Name Unknown.3,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89,883.89
China,China,639.78,540.06,640.01,615.57,612.21,632.39,674.29,634.22,641.09,614.16,643.78
China,Anhui Sheng,1274.06,974.4,1110.1,1000.11,1187.76,1439.47,1396.65,1169.47,1188.52,1034.03,1438.4
China,Beijing Shi,470.25,458.13,502.73,496.24,420.11,429.93,658.73,452.23,486.65,413.52,489.79
China,Chongqing Shi,1121.66,1018.93,1103.69,1074.88,1305.63,1353.95,1203.16,1239.85,1149.78,1163.03,1280.56
China,Fujian Sheng,1986.75,1207.45,1979.71,1510.8,1714.79,1845.82,2000.75,1581.57,1599.2,1675.88,1509.1
China,Gansu Sheng,280.28,293.89,296.47,295.55,298.13,252.75,266.42,307.11,318.8,334.72,276.66
China,Guangdong Sheng,1895.76,1439.34,1858.58,2087.48,1846.15,1809.45,2297.77,1869.48,1894.55,2030.96,1698.43
China,Guangxi Zhuangzu Zizhiqu,1370.94,1152.55,1500.88,1527.03,1512.09,1564.93,1572.46,1605.72,1498.46,1454.44,1352.97
China,Guizhou Sheng,1125.37,832.34,1103.37,1006.09,1449.35,1428.09,1177.61,1258.91,1227.73,1170.92,1305.49
China,Hainan Sheng,1884.58,2436.87,2531.88,2446.72,2098.2,2098.57,2185.97,2675.6,1740.96,2019.94,1969.7
China,Hebei Sheng,500.71,479.62,539.14,510.07,436.42,468.95,644.01,457.89,504,455.12,532.15
China,Heilongjiang Sheng,546.52,462.18,636.15,681.93,500.81,530.5,594.7,522.48,627.76,687.74,644.8
China,Henan Sheng,774.89,693.62,609.06,652.1,717.01,839.92,904.88,733.23,764.99,693.23,928.39
China,Hubei Sheng,1201.73,904.23,1044.68,1034.05,1114.52,1250.11,1261.27,1143.95,1050.88,918.25,1421.36
China,Hunan Sheng,1547.16,997.52,1575.66,1264.38,1463.06,1525.72,1618.94,1491.33,1387.47,1283.83,1586.5
China,Jiangsu Sheng,1013.21,975.57,939.4,864.33,1052.11,1143.96,1166.69,1085.8,1106.72,919.11,1307.04
China,Jiangxi Sheng,2017.46,1168.29,2051.57,1380.59,1625.54,1853.87,1970.45,1592.85,1585.29,1623.75,1662.69
China,Jilin Sheng,755.63,488.36,775.91,772.21,510.23,601.68,694.91,564.67,707.93,687.33,656.02
China,Liaoning Sheng,897.77,587.31,844.81,751.51,448.42,594.3,710.97,555.86,592.62,626.22,757.17
China,Nei Mongol Zizhiqu,278.15,257.38,358.69,340.36,286.56,281.25,327.36,241.22,350.14,309.71,335.09
China,Ningxia Huizu Zizhiqu,306.35,320.5,351.79,317.11,330.81,285.51,332.6,357.34,385.39,289.94,319.16
China,Qinghai Sheng,262.39,243.78,276.47,209.52,267.75,211.19,217.31,266.76,276.57,269.32,229.93
China,Shaanxi Sheng,637.19,726.55,571.58,640.12,636.06,572.97,550.11,691.23,576.93,668.79,652.13
China,Shandong Sheng,684.64,721,654.97,643.2,602.43,642.86,727.8,653.87,774.15,612.36,834.07
China,Shanghai Shi,1285.32,1103.31,1373.45,1087.23,1349.36,1409.9,1347.67,1337.67,1279.74,1384.55,1455.5
China,Shanxi Sheng,475.12,530.42,502.4,539.15,502.07,457.03,600.58,516.11,459.16,497.52,574.19
China,Sichuan Sheng,822.62,723.18,831.47,823.95,881.18,840.47,816.63,878.75,863.93,840.74,879.86
China,Tianjin Shi,499.97,516.8,659.75,528.63,453.1,491.79,723.7,502.7,582.68,482.81,530.52
China,Xinjiang Uygur Zizhiqu,150.67,123.55,130.48,131.63,109.24,135.34,151.16,149.95,135.25,123.66,107.77
China,Xizang Zizhiqu,526.17,588.04,488.04,557.7,508.44,487.93,553.82,592.65,565.55,559.12,532.58
China,Yunnan Sheng,1073.29,913.51,984.4,1065.29,1098.24,1171.86,1221.25,1225.19,1247.91,889.42,1056.71
China,Zhejiang Sheng,1929.51,1256.54,1921.03,1398.19,1646.54,1831.65,1658.58,1471.92,1430.74,1680.51,1581.77
Colombia,Colombia,3026.06,3160.38,2422.87,2457.9,2399.83,2180.39,2469.63,2731.28,2593.66,2532.39,2544.11
Colombia,Amazonas,2701.6,2723.79,2734.36,2895.94,3009.42,2906.57,2830.53,2960.62,3034.91,3104.51,3041.2
Colombia,Antioquia,3315.01,3727.16,2588.88,2613.97,2404.78,1970.15,2421.3,2966.62,2767,2587.05,2649.55
Colombia,Arauca,2544.13,2419.84,1873.44,1722.75,1475.8,1571.27,1583.83,1814.9,1829.8,1797.96,1576.62
Colombia,Atlantico,1811,2034.22,1076.81,990.1,757.25,521.66,1136.88,1288.84,1010.97,753.86,831.58
Colombia,Bolivar,3097.62,3158.78,2106.08,1858.08,1533.56,1297.3,1859.43,2174.14,1990.34,1662.29,1704.4
Colombia,Boyaca,2053.44,2245.48,1454.12,1406.32,1256.52,1160.11,1369.7,1556.14,1554.54,1520.97,1468.54
Colombia,Buenaventura,2810.35,3196.28,2208.04,2293.78,2385.58,1556.83,2255.71,2908.42,2226.35,2211.09,2299.3
Colombia,Caldas,2881.21,3196.26,2131.45,2277.71,2202.99,1709.21,2138.36,2591.76,2376.42,2345.19,2278.11
Colombia,Caqueta,3079.51,3181.57,2512.99,2580.86,2618.44,2268.67,2646.85,3042.49,2632.2,2631.62,2822.72
Colombia,Casanare,3237.73,3356.67,2358.25,2300.53,2121.26,2113.59,2314.61,2476.08,2588.6,2538.04,2478.84
Colombia,Cauca,2810.35,3196.28,2208.04,2293.78,2385.58,1556.83,2255.71,2908.42,2226.35,2211.09,2299.3
Colombia,Cesar,2784.8,2867.54,1895.59,1552.28,1296.12,1089.19,1664.58,1939.37,1724.3,1336.93,1309.5
Colombia,Choco,7797.74,8473.65,5979.09,6327.66,6250.05,4505.75,6057.31,7572.99,6592.07,6148.48,6809.9
Colombia,Cordoba,2516.67,2796.44,1814.58,1736.55,1495.7,1266.61,1736.22,2091.5,1908.87,1583.9,1699.69
Colombia,Cundinamarca,2299.1,2547.54,1561.73,1657.5,1580.7,1302.17,1647.47,1939.52,1811.59,1806.23,1797.96
Colombia,Guainia,3164.08,3145.5,2951.55,3212.08,3094.91,3172.6,3185.97,3063.16,3209.69,3188.16,3049.74
Colombia,Guajira,1696.35,1820.68,1080.21,910.42,841.14,726.09,1177.71,1181.65,1107.77,786.74,842.77
Colombia,Guaviare,3155.2,3180.98,2545.59,2533.82,2592.62,2556.66,2812.98,2858.09,2772.92,2805.58,2886.57
Colombia,Huila,2013.39,2277.84,1475.14,1499.43,1564.33,1080.06,1524.46,1886.02,1487.03,1524.72,1535.52
Colombia,Magdalena,2265.15,2436.39,1479.62,1216.88,981.79,769.41,1389.14,1627.92,1369.71,989.39,1020.74
Colombia,Meta,3478.23,3717.52,2245.97,2345,2308.99,1993.45,2545.62,2798.28,2673.6,2685.38,2830.3
Colombia,Narino,3111.76,2945.54,2616.53,2486.9,2710.9,2706.26,2564.78,3141.89,2484.57,2759.58,2664.53
Colombia,Norte De Santander,2503.36,2588.49,1753.85,1437.74,1154.87,1068.19,1355.33,1673.27,1506.97,1304.17,1140.55
Colombia,Putumayo,3396.1,3429.44,2801.68,2810.81,2929.39,2612.34,2844.39,3438.25,2805.12,2884.25,3097.18
Colombia,Quindio,2343.17,2644.31,1793.2,1903.19,1830.82,1359.49,1763.47,2212.23,1909.52,1912.78,1824.83
Colombia,Risaralda,3039.93,3382.89,2346.31,2477.02,2395.58,1799.1,2283.2,2847.15,2537.1,2471.17,2465.26
Colombia,San Andres Y Providencia,2404.76,1956.45,1939.76,1525.61,1815.51,1062.19,1382.05,2059.69,1580.61,1223.09,2204.74
Colombia,Santander,2919.34,3249.46,2216.28,2066.39,1805.56,1623.14,1896.28,2200.55,2180.84,2111.29,1949.76
Colombia,Sucre,2512.07,2623.5,1647.95,1497.12,1187.29,981.5,1537.28,1832.72,1606.72,1259.13,1329.3
Colombia,Tolima,2294.39,2602.75,1710.25,1764.13,1782.69,1319.9,1717.33,2113.14,1777.57,1840.63,1720.53
Colombia,Valle Del Cauca,2940.74,3260.29,2250.59,2387.19,2376.67,1649.17,2260.23,2897.88,2410.4,2350.96,2423.01
Colombia,Vaupes,3205.07,3201.24,3226.71,3273.59,3211.87,3234.83,3259.17,3214.42,3248.67,3225.61,3162.48
Colombia,Vichada,2935.6,2816.28,2323.84,2456.4,2492.37,2594.93,2591.2,2427.61,2736.52,2699.21,2547.26
France,France,834.76,721.45,863.73,942.61,926.27,707.09,817.37,728.2,878.16,833.1,808.17
France,Alsace,876.11,703.52,938.63,949.4,813.76,672.04,925.96,828.26,716.22,811.33,704.35
France,Aquitaine,847.11,695.63,833.27,1103.82,984.17,789.17,884.1,826.27,1003.32,983.68,977.17
France,Auvergne,912.03,780.96,880.75,1002.2,1022.57,741.77,867.45,755.35,927.57,839.7,814.15
France,Basse-Normandie,760.21,682.33,938.23,843.38,882.65,721.6,760.17,715.45,806.67,825.92,827.05
France,Bourgogne,781.37,659.68,821.51,903.23,822.71,610.1,806.99,687.73,752.35,691.74,678.63
France,Bretagne,929.68,798.59,1123.33,1039.99,1092.99,906.38,900.65,817.5,980.47,1038.17,1055.4
France,Centre,653.52,575.84,742.79,757.12,753.63,565.63,674.89,615.02,692.86,650.43,638.34
France,Champagne-Ardenne,833.53,711.09,890.94,908.21,808.12,676.88,865.28,754.08,779.45,757.64,736.73
France,Corse,890.52,662.24,682.08,807.63,817.21,544.43,615.13,485.06,830.6,766.52,661.08
France,Franche-Comte,1028.23,885.04,1181.74,1250.32,1062.44,832.58,1150.7,972.78,965.06,976.31,889.12
France,Haute-Normandie,732.9,654.87,850.47,765.81,801.61,686.04,743.3,698.12,747.91,746.91,741.17
France,Ile-de-France,636.56,576.4,724.13,691.51,708.26,563.96,671.06,597.07,641.27,608.18,600.56
France,Languedoc-Rousillon,854.79,760.82,661.56,867.3,948.47,651.41,696.85,631.94,1005.53,813.19,761.95
France,Limousin,838.28,714.03,865.42,976.81,968.39,704.53,848.22,760.92,874.35,842.85,834.3
France,Lorraine,903.14,733.76,942.76,980.11,832.75,691.2,921.76,803.69,788.19,806.52,743.42
France,Midi-Pyrenees,788.7,687.31,657.95,902.08,905.12,658.12,738.07,696.99,957.42,823.73,824.49
France,Nord-Pas-de-Calais,784.21,692.92,911.31,770.93,807.26,737.65,816.21,749.18,733.68,768.3,761.72
France,Pays-de-la-Loire,691.87,611.27,836.77,817.49,818.92,641.96,696.35,638.08,758.37,762.69,758.53
France,Picardie,738.14,653.33,833.53,741.52,761.49,661.54,763.69,695.25,696.85,705.11,698.06
France,Poitou-Charentes,719.79,624.66,833.35,882.37,864.36,634.01,748.11,670.61,786.9,793.28,796.21
France,Provence-Alpes-Cote-d'Azur,1012.16,892.6,880.9,1053.87,1141.57,794.14,796.21,674.89,1109.62,968.42,880.88
France,Rhone-Alpes,1029.84,920.29,1061.21,1197.02,1203.99,853.44,999.53,838.61,1092.02,991.47,942.23
France,Cayenne,3072.19,2949.69,2843.64,3256.85,2476.74,3114.88,2690.02,3139.99,3242.84,2267.03,2429.48
France,Saint-laurent-du-maroni,2584.96,2544.69,2437.52,2887.99,2158.77,2649.99,2299.57,2598.71,2695.48,1941.4,2054.71
France,Administrative unit not available,3779.22,3800.08,3374.4,2980.33,3013.94,2301.39,3526.92,3473.49,3113.02,2868.79,3027.14
France,Administrative unit not available.1,1524.4,1609.6,1599.4,1054.4,1640.6,1643.1,1675.5,1498.5,1612.8,1274.9,1176
France,Arrondissement_du_vent,2099.17,2011.35,1592.74,1828.83,1543.72,2268.47,1486.8,1718.72,2585.34,1748.32,1290.47
France,Arrondissement_souse_le_vent,2153.17,2065.61,1641.84,1866.25,1563.15,2328.71,1512.76,1747.01,2643.15,1753.37,1296.73
France,Fort-de-France,3985.71,4190.65,3474.07,2928.3,2876.07,2347.3,3560.08,3457.94,3088.14,2377.93,2910.53
France,La Trinite,3902.42,4093.44,3393.07,2857.23,2802.1,2283.89,3470.84,3374.11,3010.07,2313.05,2840.16
France,Le Marin,3433.28,3556.03,2942.52,2473.81,2410.96,1942.54,2979.11,2921.8,2588.52,1970.03,2464.31
France,Saint-Pierre,4121.9,4349.6,3606.5,3044.5,2997,2451,3706,3595,3215.8,2484,3025.6
Germany,Germany,768.17,656.39,708.65,727.05,692.05,640.68,697.63,794.34,561.71,666.07,643.53
Germany,Baden-Wuerttemberg,877.81,733.27,874.25,885.3,803.59,668.31,889.24,859.68,676.46,815.77,714.96
Germany,Bayern,843.63,730.64,796.18,826.17,768.32,677.4,839.59,851.64,702.95,760.16,788.7
Germany,Berlin,690.84,544.86,565.76,623.29,546.49,520.46,496.97,703.02,391.5,499.58,493.04
Germany,Brandenburg,679.5,543.03,566.42,611.65,540.29,513.12,500.22,697.99,389.97,491.92,493.61
Germany,Bremen,769.18,759.62,724.82,702.04,717.31,816.09,691.78,931.52,570.62,765.82,713.67
Germany,Hamburg,780.19,755.99,712.95,719.3,723.35,790.48,668.53,961.75,548.09,728.76,679.68
Germany,Hessen,761.25,618.07,695.89,722.36,725.45,600.66,701.92,728.66,569.63,638.63,599.4
Germany,Mecklenburg-Vorpommern,680.12,609.6,571.76,610.3,596.49,590.58,520.72,779.99,428.25,565.07,540.83
Germany,Niedersachsen,730.64,681.94,686.62,679.26,679.55,724.18,656.93,860.98,524.01,684.99,641.67
